time,T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20170401:0600,9.54,96.51,7,0,7,317.98,2.93,191,100890
20170401:0700,9.72,98.01,63,0,63,320.8,3.05,208,100920
20170401:0800,10.89,89.55,98,0,98,332.4,2.28,218,100950
20170401:0900,11.38,83.25,335,126.78,266,327.8,2.83,225,101000
20170401:1000,12,79.5,306,34.85,284,328.4,3.03,223,101010
20170401:1100,12.53,74.4,309,22.08,294,332.8,3.24,218,101010
20170401:1200,13.69,64.8,364,55.43,326,330.2,3.86,219,100980
20170401:1300,14.33,58.55,337,50.83,304,327.4,3.79,223,100960
20170401:1400,14.53,55.25,237,13.97,229,331.8,3.59,226,100970
20170401:1500,14.15,55.95,154,2.17,153,349.2,3.1,231,100990
20170401:1600,13.9,57.85,99,3.1,98,347,2.83,236,100970
20170401:1700,13.44,60.6,117,359.96,57,340.6,2.34,236,101010
20170401:1800,12.59,65.1,0,0,0,324.6,1.66,221,101060
20170401:1900,10.78,84.6,0,0,0,297,1.79,165,101100
20170401:2000,9.86,87.8,0,0,0,297.2,1.86,179,101160
20170401:2100,8.85,89.85,0,0,0,284.8,2.14,202,101190
20170401:2200,8.13,90.4,0,0,0,284.4,2.07,212,101250
20170401:2300,7.38,91.35,0,0,0,278,2,221,101290
20170402:0000,6.78,92.5,0,0,0,283.2,1.93,233,101310
20170402:0100,6.1,93.85,0,0,0,277,1.86,241,101360
20170402:0200,5.25,95.35,0,0,0,267.8,1.79,247,101389
20170402:0300,4.63,96.4,0,0,0,267.8,1.86,245,101419
20170402:0400,4.11,97.4,0,0,0,268,1.79,248,101469
20170402:0500,3.83,97.85,0,0,0,270.6,1.79,252,101529
20170402:0600,3.84,98.05,73,213.83,46,265.4,1.66,243,101629
20170402:0700,7.02,96.25,220,399.15,106,276.8,1.1,216,101709
20170402:0800,9.97,88.3,406,697.61,106,275,1.31,239,101809
20170402:0900,11.61,82.95,528,687.61,150,287.4,1.31,258,101859
20170402:1000,13.16,74.4,646,801.23,136,295.6,1.45,272,101929
20170402:1100,14.38,63.75,708,838.58,134,303.8,1.72,290,101949
20170402:1200,15.07,58.15,704,795.21,155,300.2,2,307,101978
20170402:1300,15.38,55.85,330,42.83,302,324.2,2.21,318,102008
20170402:1400,15.29,55.35,237,12.13,230,313.8,2.55,326,102018
20170402:1500,14.9,59.5,440,682.65,122,323.8,3.1,333,102068
20170402:1600,14,67.4,273,501.1,109,312.6,3.24,340,102098
20170402:1700,13.11,74.2,122,380.13,57,306.8,2.69,345,102138
20170402:1800,12.03,79.4,0,0,0,311.4,2.21,347,102218
20170402:1900,10.12,85.2,0,0,0,290.8,2.14,348,102288
20170402:2000,9.01,90.25,0,0,0,279.8,2,353,102368
20170402:2100,8.02,94.05,0,0,0,274.4,1.86,1,102398
20170402:2200,7.11,96.35,0,0,0,269.6,1.72,8,102458
20170402:2300,6.03,98.15,0,0,0,267,1.66,9,102468
20170403:0000,5.45,99,0,0,0,264.6,1.52,6,102508
20170403:0100,5.6,99.75,0,0,0,263,1.24,14,102488
20170403:0200,5.96,99.85,0,0,0,265,1.03,24,102468
20170403:0300,5.01,99.65,0,0,0,286.8,0.9,25,102468
20170403:0400,4.63,99.7,0,0,0,310.4,0.83,30,102498
20170403:0500,4.83,99.65,0,0,0,324.6,0.69,51,102498
20170403:0600,5.36,99.4,31,0,31,328.6,0.62,74,102527
20170403:0700,5.87,98.7,109,13.72,105,333.6,1.03,107,102567
20170403:0800,6.66,98.4,181,18.36,173,343.6,0.83,97,102597
